Imagen	Proporcion
P1_V3	0.540983606557377
P2_V2	0.573770491803278
P3_V2	0.475409836065574
P4_V4	0.491803278688525
P5_V1	0.524590163934426
P6_V1	0.704918032786885
P7_V4	0.393442622950820
P8_V3	0.524590163934426
P9_V3	0.262295081967213
P10_V4	0.426229508196721
P11_V4	0.360655737704918
P12_V1	0.491803278688524
P13_V2	0.524590163934426
P14_V2	0.491803278688525
P15_V1	0.819672131147541
P16_V2	0.524590163934426
P17_V3	0.311475409836066
P18_V4	0.295081967213115
P19_V1	0.639344262295082
P20_V3	0.573770491803279
