Imagen	Proporcion
P1_V2	0.245901639344262
P2_V1	0.655737704918033
P3_V3	0.672131147540983
P4_V2	0.459016393442623
P5_V3	0.655737704918033
P6_V3	0.540983606557377
P7_V3	0.229508196721311
P8_V4	0.786885245901639
P9_V1	0.540983606557377
P10_V1	0.459016393442623
P11_V2	0.721311475409836
P12_V3	0.459016393442623
P13_V3	0.147540983606557
P14_V1	0.442622950819672
P15_V2	0.737704918032787
P16_V4	0.655737704918033
P17_V2	0.737704918032787
P18_V3	0.524590163934426
P19_V4	0.409836065573771
P20_V1	0.344262295081967
