Imagen	Proporcion
P1_V4	0.311475409836066
P2_V3	0.770491803278688
P3_V1	0.737704918032787
P4_V3	0.688524590163934
P5_V2	0.508196721311475
P6_V2	0.737704918032787
P7_V1	0.147540983606557
P8_V1	0.590163934426229
P9_V2	0.180327868852459
P10_V3	0.606557377049180
P11_V3	0.393442622950820
P12_V2	0.622950819672131
P13_V1	0.409836065573770
P14_V4	0.393442622950820
P15_V4	0.786885245901639
P16_V1	0.426229508196721
P17_V4	0.327868852459017
P18_V2	0.393442622950820
P19_V2	0.721311475409836
P20_V4	0.459016393442623
