
Imagen	Proporcion
P1_V1	0.655737704918033
P2_V4	0.688524590163934
P3_V4	0.622950819672131
P4_V1	0.327868852459016
P5_V4	0.704918032786885
P6_V4	0.475409836065574
P7_V2	0.754098360655738
P8_V2	0.704918032786885
P9_V4	0.655737704918033
P10_V2	0.163934426229508
P11_V1	0.508196721311475
P12_V4	0.344262295081967
P13_V4	0.147540983606557
P14_V3	0.393442622950820
P15_V3	0.688524590163934
P16_V3	0.459016393442623
P17_V1	0.754098360655738
P18_V1	0.688524590163934
P19_V3	0.393442622950820
P20_V2	0.704918032786885
