age,study,area,genre,nationality,painting_1_v1,painting_1_v2,painting_1_v3,painting_1_v4,painting_2_v1,painting_2_v2,painting_2_v3,painting_2_v4,painting_3_v1,painting_3_v2,painting_3_v3,painting_3_v4,painting_4_v1,painting_4_v2,painting_4_v3,painting_4_v4,painting_5_v1,painting_5_v2,painting_5_v3,painting_5_v4,painting_6_v1,painting_6_v2,painting_6_v3,painting_6_v4,painting_7_v1,painting_7_v2,painting_7_v3,painting_7_v4,painting_8_v1,painting_8_v2,painting_8_v3,painting_8_v4,painting_9_v1,painting_9_v2,painting_9_v3,painting_9_v4,painting_10_v1,painting_10_v2,painting_10_v3,painting_10_v4,painting_11_v1,painting_11_v2,painting_11_v3,painting_11_v4,painting_12_v1,painting_12_v2,painting_12_v3,painting_12_v4,painting_13_v1,painting_13_v2,painting_13_v3,painting_13_v4,painting_14_v1,painting_14_v2,painting_14_v3,painting_14_v4,painting_15_v1,painting_15_v2,painting_15_v3,painting_15_v4,painting_16_v1,painting_16_v2,painting_16_v3,painting_16_v4,painting_17_v1,painting_17_v2,painting_17_v3,painting_17_v4,painting_18_v1,painting_18_v2,painting_18_v3,painting_18_v4,painting_19_v1,painting_19_v2,painting_19_v3,painting_19_v4,painting_20_v1,painting_20_v2,painting_20_v3,painting_20_v4
22,Secondary,Humanities,Female,Spain,Sadness,Contentment,Fear,Amusement,Sadness,Contentment,Amusement,Fear,Contentment,Amusement,Sadness,Fear,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Sadness,Fear,Amusement,Contentment,Contentment,Fear,Amusement,Sadness,Sadness,Contentment,Amusement,Fear,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Fear,Amusement,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Contentment,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Fear,Amusement,Sadness,Contentment,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Contentment,Amusement
22,Graduate,Social Sciences,Female,Spain,Fear,Amusement,Contentment,Sadness,Sadness,Contentment,Amusement,Fear,Amusement,Contentment,Sadness,Fear,Contentment,Sadness,Amusement,Fear,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Amusement,Fear,Sadness,Contentment,Amusement,Fear,Contentment,Sadness,Sadness,Amusement,Contentment,Fear,Fear,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Sadness,Fear,Contentment,Sadness,Contentment,Amusement,Fear,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Contentment,Amusement
23,Graduate,Engineering,Male,Chile,Fear,Sadness,Amusement,Contentment,Amusement,Fear,Contentment,Sadness,Contentment,Amusement,Sadness,Fear,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Fear,Amusement,Contentment,Sadness,Contentment,Sadness,Amusement,Fear,Contentment,Sadness,Fear,Amusement,Amusement,Sadness,Contentment,Fear,Fear,Sadness,Contentment,Amusement,Amusement,Sadness,Contentment,Fear,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Amusement,Contentment,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Sadness,Amusement,Amusement,Contentment,Fear,Sadness,Sadness,Amusement,Fear,Contentment
22,Secondary,Social Sciences,Female,Spain,Fear,Contentment,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Contentment,Amusement,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Amusement,Sadness,Sadness,Contentment,Amusement,Fear,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Fear,Amusement,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Sadness,Amusement,Amusement,Contentment,Sadness,Fear,Contentment,Fear,Amusement,Sadness
39,Graduate,Engineering,Male,Italy,Fear,Sadness,Amusement,Contentment,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Fear,Sadness,Contentment,Sadness,Amusement,Fear,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Sadness,Fear,Amusement,Fear,Sadness,Contentment,Amusement,Fear,Contentment,Sadness,Sadness,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Fear,Fear,Sadness,Amusement,Contentment,Fear,Amusement,Contentment,Sadness,Amusement,Contentment,Fear,Sadness,Fear,Amusement,Sadness,Contentment,Sadness,Contentment,Fear,Amusement,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Fear,Contentment,Sadness,Amusement,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Amusement,Contentment
33,Postgraduate,Social Sciences,Female,Spain,Fear,Contentment,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Amusement,Contentment,Amusement,Contentment,Sadness,Fear,Fear,Contentment,Sadness,Amusement,Sadness,Fear,Amusement,Contentment,Contentment,Sadness,Fear,Amusement,Fear,Amusement,Contentment,Sadness,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Contentment,Amusement,Sadness,Fear,Amusement,Fear,Contentment,Sadness,Fear,Amusement,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Contentment,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Fear,Amusement,Sadness,Contentment,Fear,Contentment,Amusement,Sadness,Sadness,Fear,Amusement,Contentment
42,Postgraduate,Engineering,Male,Romania,Fear,Sadness,Amusement,Contentment,Sadness,Amusement,Contentment,Fear,Amusement,Contentment,Fear,Sadness,Amusement,Sadness,Fear,Contentment,Amusement,Contentment,Fear,Sadness,Contentment,Amusement,Sadness,Fear,Amusement,Fear,Contentment,Sadness,Amusement,Sadness,Fear,Contentment,Contentment,Fear,Sadness,Amusement,Sadness,Fear,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Fear,Sadness,Fear,Contentment,Sadness,Amusement,Sadness,Amusement,Fear,Contentment,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Sadness
55,Postgraduate,Engineering,Male,Italy,Fear,Contentment,Amusement,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Sadness,Fear,Fear,Sadness,Amusement,Contentment,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Sadness,Fear,Amusement,Fear,Sadness,Contentment,Amusement,Fear,Contentment,Sadness,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Contentment,Amusement,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Fear,Contentment,Sadness,Amusement,Contentment,Sadness,Fear,Amusement,Amusement,Contentment,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Contentment,Amusement
41,Postgraduate,Social Sciences,Female,Italy,Fear,Contentment,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Amusement,Contentment,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Amusement,Fear,Sadness,Contentment,Contentment,Fear,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Contentment,Amusement,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Fear,Amusement,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Contentment,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Fear,Amusement,Sadness,Contentment,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Amusement,Contentment
24,Postgraduate,Engineering,Male,Chile,Fear,Amusement,Contentment,Fear,Amusement,Contentment,Contentment,Fear,Amusement,Contentment,Amusement,Fear,Amusement,Fear,Contentment,Contentment,Contentment,Contentment,Amusement,Fear,Contentment,Contentment,Contentment,Fear,Fear,Fear,Fear,Amusement,Amusement,Fear,Fear,Fear,Fear,Amusement,Amusement,Fear,Amusement,Amusement,Contentment,Contentment,Fear,Fear,Fear,Amusement,Contentment,Contentment,Contentment,Contentment,Amusement,Contentment,Amusement,Amusement,Fear,Amusement,Fear,Fear,Amusement,Fear,Fear,Contentment,Amusement,Amusement,Amusement,Amusement,Fear,Amusement,Contentment,Amusement,Fear,Fear,Fear,Amusement,Contentment,Contentment,Fear,Contentment,Amusement,Fear,Contentment,Amusement
30,Graduate,Engineering,Male,Chile,Sadness,Sadness,Fear,Sadness,Fear,Fear,Contentment,Sadness,Amusement,Contentment,Sadness,Fear,Amusement,Amusement,Contentment,Contentment,Amusement,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Fear,Fear,Fear,Fear,Amusement,Fear,Sadness,Sadness,Sadness,Fear,Fear,Sadness,Sadness,Sadness,Contentment,Contentment,Fear,Fear,Fear,Contentment,Contentment,Contentment,Contentment,Contentment,Contentment,Fear,Fear,Amusement,Fear,Fear,Fear,Fear,Fear,Sadness,Sadness,Contentment,Amusement,Fear,Sadness,Sadness,Fear,Sadness,Contentment,Amusement,Sadness,Sadness,Sadness,Amusement,Amusement,Contentment,Contentment,Contentment,Amusement,Amusement,Fear,Amusement
23,Postgraduate,Engineering,Female,Argentina,Fear,Contentment,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Amusement,Sadness,Contentment,Fear,Contentment,Fear,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Amusement,Contentment,Sadness,Fear,Amusement,Fear,Fear,Sadness,Sadness,Contentment,Fear,Amusement,Amusement,Sadness,Fear,Contentment,Sadness,Amusement,Fear,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Sadness,Amusement,Contentment,Amusement,Sadness,Fear,Sadness,Fear,Amusement,Contentment
